station_id,x,y,start_date,end_date,ground_elev,measure_elev
13508,456452.0,5503848.0,1964-01-01,,91.81,91.91
13509,458201.0,5503968.0,1974-01-01,,89.65,90.02
13510,453983.0,5504038.0,1973-01-01,,90.4,90.75
13513,457502.0,5504827.0,1981-01-01,,88.32,88.68
13514,454302.992,5504967.175,1978-01-01,,89.47,89.33
13516,464429.0,5494221.0,1974-01-01,,94.42,95.26
13517,464379.0,5494231.0,1980-01-01,,0.0,0.0
13518,468337.0,5494261.0,1936-01-01,,96.27,96.27
13539,466638.0,5495461.0,1981-01-01,,94.81,95.76
13540,466638.0,5495461.0,1981-01-01,,94.89,95.79
13541,470536.0,5495461.0,1978-01-01,,95.58,96.62
13544,470586.0,5495471.0,1978-01-01,,95.89,97.13
13547,470616.0,5495481.0,1978-01-01,,96.16,97.14
13548,470636.0,5495481.0,1978-01-01,2016-11-11,98.58,98.68
13549,470656.0,5495491.0,1978-01-01,,98.33,98.36
13550,470696.0,5495501.0,1978-01-01,,96.45,97.7
13556,469297.0,5495571.0,1974-01-01,,95.69,96.34
13557,469937.0,5495571.0,1973-01-01,,95.57,96.03
13559,468330.0,5495595.0,1975-01-01,,98.3,0.0
13564,471712.002,5495698.732,1978-01-01,,96.15,96.43
13568,468047.0,5495861.0,1974-01-01,,95.69,96.23
13573,468447.0,5495938.0,1978-01-01,,0.0,0.0
13581,473525.0,5496201.0,1988-01-01,,95.8,96.2
13582,463989.0,5496211.0,1913-01-01,,92.91,93.4
13584,473615.0,5496260.0,1955-01-01,,95.74,96.14
13586,472876.0,5496300.0,1955-01-01,,95.59,95.69
13588,471126.0,5496380.0,1955-01-01,,95.4,96.03
13589,472025.882,5496380.459,1955-01-01,2011-05-03,95.85,96.61
13594,467668.0,5496590.0,1974-01-01,,94.48,95.12
13595,468527.0,5496600.0,1978-01-01,,98.21,99.24
13596,469327.0,5496600.0,1974-01-01,,96.18,96.75
13597,468527.0,5496610.0,1974-01-01,,99.38,100.08
13601,466558.0,5496730.0,1964-01-01,,94.77,94.97
13612,471796.0,5497120.0,1960-01-01,,95.17,96.24
13613,469717.0,5497180.0,1978-01-01,,94.51,95.01
13615,469832.0,5497237.0,1978-01-01,,97.54,97.63
13622,470087.0,5497480.0,1974-01-01,,94.95,95.57
13623,470616.0,5497480.0,1978-01-01,2015-12-21,95.25,95.58
13625,470876.0,5497490.0,1955-01-01,,95.1,95.4
13626,470706.0,5497510.0,1978-01-01,2017-08-23,95.4,95.55
13627,472196.0,5497510.0,1955-01-01,,95.17,95.67
13630,470207.0,5497570.0,1978-01-01,,94.81,95.31
13635,471166.233,5497559.996,1955-05-13,,95.4,95.76
13652,470357.0,5497700.0,1978-01-01,1997-10-01,96.67,96.57
13656,473275.0,5497740.0,1955-01-01,,95.87,96.15
13658,464578.855,5497889.913,1913-05-26,1986-01-01,93.14,94.24
13670,465129.0,5498120.0,1978-01-01,,92.92,93.43
13674,472496.0,5498180.0,1958-12-25,,97.11,97.96
13676,468987.0,5498190.0,1973-01-01,,97.04,97.34
13689,471336.0,5498660.0,1960-01-01,,95.08,95.98
13695,467668.0,5498840.0,1974-01-01,,94.64,95.2
13696,472239.0,5498953.0,1980-01-01,,96.02,95.85
13698,470616.0,5499019.0,1955-01-01,,94.8,95.2
13703,469847.0,5499149.0,1974-01-01,,94.36,94.5
13704,468705.0,5499163.0,1974-01-01,,95.6,96.21
13711,471096.0,5499619.0,1978-01-01,,94.74,94.86
13723,470916.0,5500169.0,1951-01-01,,95.43,96.03
13725,466888.0,5500199.0,1978-01-01,,93.46,94.03
13726,466857.965,5500178.987,1951-01-01,,93.5,93.92
13727,471706.0,5500233.0,1957-01-01,,94.26,94.71
13729,468797.0,5500229.0,1950-12-25,,97.82,97.69
13731,472416.0,5500259.0,1958-12-25,,94.3,94.72
13733,473105.0,5500289.0,1981-01-01,,95.68,96.45
13735,473105.0,5500299.0,1951-01-01,,94.83,94.76
13737,473745.0,5500389.0,1978-01-01,,102.87,103.37
13742,466808.0,5500629.0,1992-01-01,,93.04,93.47
13743,466808.0,5500629.0,1992-01-01,,93.0,93.44
13748,467968.0,5500739.0,1953-01-01,,93.52,93.71
13751,467928.0,5500839.0,1953-01-01,,93.29,93.73
13756,467458.0,5501009.0,1953-01-01,,92.72,92.93
13757,468277.0,5501019.0,1953-01-01,,93.66,93.9
13761,466838.0,5501159.0,1959-01-01,,92.52,92.87
13764,472883.576,5501280.505,1974-01-01,,96.13,96.25
13765,468717.0,5501339.0,1953-01-01,,94.7,94.89
13766,468227.0,5501388.0,1953-01-01,,93.76,93.9
13767,469037.0,5501528.0,1959-01-01,,94.08,94.29
13769,467438.0,5501538.0,1953-01-01,,93.18,93.34
13771,468367.0,5501588.0,1953-01-01,,93.76,93.91
13772,471496.0,5501678.0,1978-01-01,,95.74,96.3
13773,466887.964,5501728.371,1959-01-01,,93.77,94.37
13774,469336.99,5501778.333,1959-01-01,2001-12-01,94.71,95.08
13776,468497.0,5501858.0,1959-01-01,,94.75,95.01
13778,469557.0,5501988.0,1959-01-01,,94.14,94.28
13779,467528.0,5502068.0,1959-12-25,,93.89,93.85
13783,468617.0,5502278.0,1959-01-01,,94.3,94.57
13784,466798.0,5502338.0,1959-12-25,,92.68,92.56
13785,467608.0,5502398.0,1959-01-01,,94.39,94.59
13786,465009.0,5502428.0,1978-01-01,,91.33,91.19
13787,465009.0,5502448.0,1978-01-01,,91.43,92.82
13789,465019.0,5502468.0,1978-01-01,,91.83,92.95
13790,468677.0,5502478.0,1959-01-01,1967-12-01,95.77,96.15
13791,465149.0,5502518.0,1978-01-01,,91.79,93.01
13792,465139.0,5502548.0,1978-01-01,,91.44,91.24
13793,465129.0,5502578.0,1978-01-01,,91.42,91.3
13794,470317.0,5502578.0,1959-01-01,2010-08-18,93.73,94.31
13795,466738.0,5502698.0,1959-01-01,1973-06-26,93.59,93.79
13801,471176.0,5502898.0,1974-01-01,,94.51,94.86
13803,467698.0,5502918.0,1959-01-01,,93.21,93.41
13805,466568.0,5502948.0,1951-01-01,,92.51,93.01
13806,468817.0,5502948.0,1959-01-01,2007-05-16,94.41,94.79
13810,472411.0,5503183.0,1991-12-25,,99.86,100.56
13813,468957.0,5503418.0,1940-01-01,,93.31,93.36
13821,472276.0,5503698.0,1991-12-25,,97.13,97.83
13822,467598.0,5503718.0,1959-01-01,,92.47,92.73
13823,470417.0,5503718.0,1978-01-01,,94.42,94.98
13824,470417.0,5503718.0,1981-01-01,,94.42,94.96
13825,466618.086,5503817.542,1959-01-01,,92.55,93.22
13832,470626.0,5504557.0,1981-01-01,,93.71,94.21
13836,472156.0,5504857.0,1978-01-01,,99.92,100.33
13838,469927.0,5504887.0,1954-01-01,,93.64,93.74
14077,462380.0,5493072.0,1974-01-01,,90.19,90.63
14078,459481.0,5493342.0,1978-01-01,,91.37,92.16
14080,458121.0,5493822.0,1973-01-01,,91.49,91.9
14081,463499.0,5493921.0,1974-01-01,2010-03-01,93.86,94.9
14082,461440.0,5494081.0,1947-12-25,,92.37,92.27
14173,466228.0,5493871.0,1976-01-01,,95.72,96.77
14174,466228.0,5493881.0,1978-01-01,,95.72,96.66
14176,470267.0,5493961.0,1958-01-01,,97.4,97.26
14702,469695.0,5512269.0,2000-01-01,,92.42,93.02
15153,468650.0,5509366.0,2003-07-08,,91.42,91.86
15154,460988.0,5503955.0,2003-01-01,,89.54,90.17
15291,461399.0,5504853.0,2001-01-01,,89.55,89.98
15714,467324.0,5514643.0,2007-01-01,,90.27,91.06
15892,467323.0,5514651.0,2007-01-01,,0.0,90.92
16975,466962.0,5499411.0,2012-01-01,,93.6,94.4
17128,467471.0,5492704.0,2003-01-01,,96.57,97.35
17324,467204.0,5504786.0,2003-08-01,,92.01,92.86
17686,459631.0,5514363.0,1970-03-01,2001-11-14,86.54,86.93
17740,463546.0,5493941.0,2010-02-24,,93.86,94.9
17754,455834.0,5500280.0,2007-05-21,,88.01,88.5
17755,458537.0,5500283.0,2007-05-22,,90.0,90.5
17758,468987.0,5506137.0,2000-04-26,,94.73,94.93
17759,457195.0,5505579.0,2007-05-23,,88.5,89.0
17761,468870.0,5502947.0,2007-05-16,,94.41,94.79
17762,458920.0,5505619.0,2010-08-18,,87.44,87.95
17763,470311.0,5502615.0,2010-08-18,,93.73,94.31
17764,469382.0,5501549.0,2001-11-15,,94.71,95.08
17765,469730.0,5509450.0,2007-05-15,,91.63,92.21
17794,469074.923,5514527.748,1976-09-01,,92.1,92.82
17806,466906.953,5501344.523,2007-05-15,,93.77,94.37
17818,460980.303,5500189.025,1992-06-01,2007-05-16,89.7,90.0
14119,469297.0,5487354.0,1974-01-01,,98.78,99.19
14147,471906.0,5489183.0,1978-01-01,,97.99,98.48
14158,468497.0,5489803.0,1953-01-01,,97.25,97.73
14160,470966.0,5490603.0,1974-01-01,,97.08,96.79
14166,468427.0,5492142.0,1953-01-01,,95.85,95.95
14169,470926.0,5492462.0,1974-01-01,,96.88,97.3
16459,469518.0,5492683.0,2010-01-01,,96.46,96.96
17129,467596.0,5490910.0,2003-01-01,,96.9,97.72
17130,465688.0,5492192.0,2013-01-01,,95.82,96.58
17131,469267.0,5491023.0,2013-01-01,,97.56,98.24
17993,468487.244,5489803.099,1973-01-01,,97.25,97.73
